"???","????","??","???","?(%)"
"0","??","254842","39545","15.52"
"1","???","13752","2578","18.75"
"2","???","4555","278","6.10"
"3","???","5637","209","3.71"
"4","???","5501","504","9.16"
"5","???","3642","206","5.66"
"6","???","3539","104","2.94"
"7","???","6239","283","4.54"
"8","???","6815","652","9.57"
"9","???","4201","167","3.98"
"10","???","4952","212","4.28"
"11","???","9097","987","10.85"
"12","???","10048","1449","14.42"
"13","???","9446","6072","64.28"
"14","????","8466","5772","68.18"
"15","???","6495","757","11.66"
"16","???","2979","528","17.72"
"17","???","3437","312","9.08"
"18","???","3357","189","5.63"
"19","???","2159","281","13.02"
"20","???","8821","432","4.90"
"21","???","5851","316","5.40"
"22","???","8306","1796","21.62"
"23","???","8064","983","12.19"
"24","???","4864","131","2.69"
"25","???","4508","238","5.28"
"26","???","4120","749","18.18"
"27","???","5844","2069","35.40"
"28","???","8863","2539","28.65"
"29","???","2297","488","21.25"
"30","????","2587","184","7.11"
"31","???","2963","334","11.27"
"32","???","4769","47","0.99"
"33","???","5349","292","5.46"
"34","???","7640","997","13.05"
"35","???","3913","328","8.38"
"36","???","2031","228","11.23"
"37","???","1762","378","21.45"
"38","???","3169","3163","99.81"
"39","???","3858","179","4.64"
"40","???","7733","665","8.60"
"41","???","2855","108","3.78"
"42","???","4851","135","2.78"
"43","???","6010","199","3.31"
"44","???","5965","136","2.28"
"45","???","4099","77","1.88"
"46","????","7432","274","3.69"
"47","???","2001","540","26.99"
