"???","????","??","???","?(%)"
"0","??","6330","5438","85.91"
"1","???","309","125","40.45"
"2","???","45","16","35.56"
"3","???","39","10","25.64"
"4","???","88","59","67.05"
"5","???","47","16","34.04"
"6","???","38","21","55.26"
"7","???","50","14","28.00"
"8","???","88","36","40.91"
"9","???","72","47","65.28"
"10","???","70","62","88.57"
"11","???","250","232","92.80"
"12","???","247","233","94.33"
"13","???","830","805","96.99"
"14","????","475","465","97.89"
"15","???","115","25","21.74"
"16","???","54","49","90.74"
"17","???","71","65","91.55"
"18","???","39","35","89.74"
"19","???","20","19","95.00"
"20","???","90","22","24.44"
"21","???","96","76","79.17"
"22","???","204","190","93.14"
"23","???","396","362","91.41"
"24","???","61","53","86.89"
"25","???","56","54","96.43"
"26","???","191","175","91.62"
"27","???","600","592","98.67"
"28","???","426","413","96.95"
"29","???","69","67","97.10"
"30","????","60","56","93.33"
"31","???","16","16","100.00"
"32","???","26","16","61.54"
"33","???","106","103","97.17"
"34","???","153","150","98.04"
"35","???","77","72","93.51"
"36","???","26","22","84.62"
"37","???","40","38","95.00"
"38","???","55","49","89.09"
"39","???","16","15","93.75"
"40","???","222","210","94.59"
"41","???","30","28","93.33"
"42","???","78","64","82.05"
"43","???","58","54","93.10"
"44","???","32","26","81.25"
"45","???","60","57","95.00"
"46","????","71","60","84.51"
"47","???","68","64","94.12"
